model,epoch,n,dev_r2_mean,dev_r2_std,test_r2_mean,test_r2_std,dev_rmse_mean,test_rmse_mean,tr_loss_mean
mobile,0,90,-5.785989877777778,1.4209776347477145,-5.760977966666667,1.4227374784821953,10.435895033333333,10.387354477777778,113.00563572222222
mobile,1,90,-4.780626744444445,1.331010929872551,-4.845382911111112,1.2520377534115297,9.691502066666667,9.671250855555556,90.43910042222223
mobile,2,90,-3.5889727999999996,1.2591977347742447,-3.5920662555555554,1.262628168055283,8.585777266666668,8.5812302,70.55573591111111
mobile,3,90,-3.3820389444444445,1.2500135036219135,-3.3417368111111108,1.1986116855344935,8.307820844444445,8.375524044444443,54.03585768888889
mobile,4,90,-1.7235541444444447,1.1471870635871164,-1.7471575777777777,1.0956805584443696,6.663231966666666,6.5871711444444445,40.61102931111111
mobile,5,90,-1.3081666222222221,1.0751666486230897,-1.2700837999999999,0.9844577900945627,5.959249766666667,6.0054628,29.78831162222222
mobile,6,90,-1.1356410444444445,0.8927712080022497,-1.1540543444444444,0.9800755228516105,5.8045105999999995,5.79591311111111,21.188107233333334
mobile,7,90,-1.0684580777777777,0.8737848391323291,-1.0656709111111111,0.8438534828376476,5.728837566666666,5.731852755555556,15.135600766666668
mobile,8,90,-0.9325042111111111,0.8341604338711069,-0.9339310888888889,0.8162937003796611,5.5249527,5.5399988888888885,11.182194255555554
mobile,9,90,-0.9127565222222223,0.8444553278900373,-0.9099124222222221,0.8721850934926648,5.458630488888889,5.439924588888889,8.4933173
mobile,10,90,-0.8665333222222222,0.8132106583072098,-0.8321657111111112,0.729346028479327,5.387851033333333,5.379956544444444,6.676317077777777
mobile,11,90,-0.8128538,0.7440966650543568,-0.7961630222222222,0.724271612367467,5.356714822222222,5.325912122222222,5.419828844444445
mobile,12,90,-0.8097379,0.7611595415334383,-0.7438203777777778,0.6929137616338924,5.326079533333333,5.237047044444444,4.540196255555555
mobile,13,90,-0.7783209777777779,0.7597376686484867,-0.7735542111111111,0.7430080430510194,5.299975222222222,5.291534211111111,3.963210333333333
mobile,14,90,-0.7501514777777778,0.7167459877214931,-0.7401857555555557,0.6969252262098801,5.232052144444444,5.2117049444444445,3.4745315333333333
mobile,15,90,-0.7398326222222222,0.7378238222901636,-0.7309884222222222,0.6902465054528288,5.215550733333333,5.2364049222222215,3.179661366666667
mobile,16,90,-0.7273371666666667,0.7303023569809703,-0.7367517111111112,0.7232848908522345,5.217538211111111,5.217855966666667,2.8469766666666665
mobile,17,90,-0.7105464555555556,0.7325590623657018,-0.6979583555555555,0.6566713911536157,5.186368822222222,5.157361322222222,2.7228932111111113
mobile,18,90,-0.6703872333333334,0.6900032005133729,-0.6645489111111111,0.6632033571521649,5.170168444444444,5.1199341333333335,2.5828735444444444
mobile,19,90,-0.6672235777777777,0.7088117691751072,-0.6686728555555556,0.7243985621458838,5.1300172222222225,5.098048377777777,2.3970204222222224
mobile,20,90,-0.7173139222222221,0.7770767272251925,-0.6901401111111112,0.7032026980905507,5.182193855555555,5.154937588888889,2.332230377777778
mobile,21,90,-0.7110980222222222,0.7425626234968444,-0.6553255333333333,0.6594142350663158,5.1852159222222225,5.125146255555555,2.2271533333333333
mobile,22,90,-0.6752200444444445,0.6778324911091319,-0.6331641444444445,0.6004232992783362,5.104289733333333,5.117680666666667,2.1262365222222224
mobile,23,90,-0.6471562888888889,0.7182902099733636,-0.5924185222222222,0.5959709308075734,5.086039466666667,5.0044779777777775,2.0230009555555557
mobile,24,90,-0.6842138333333333,0.7911813791955268,-0.6433609,0.6688046489537403,5.118320066666667,5.123165433333333,2.050865766666667
mobile,25,90,-0.5972308333333333,0.6807233844537793,-0.5917828777777777,0.609520985674795,5.0026661444444445,5.010467977777778,1.9244176000000002
mobile,26,90,-0.6529552777777777,0.6742962644155828,-0.6275837,0.668583388572468,5.059166733333333,5.044653688888888,1.9375089222222222
mobile,27,90,-0.6951992333333333,0.7734297937655386,-0.6216200666666667,0.6321739046696714,5.127152766666667,5.033905222222222,1.8483278
